roundNumber,playerId,roundTimeMillis,locationX,locationY,viewRadians,matchId
13,1189,25614,757.6881404,408.9532632,4.315016827,83354
13,1189,26815,745.6157193,392.6411228,4.043404627,83354
13,1189,45302,807.2712982,434.4634386,5.601910927,83354
13,1189,47344,813.3075088,432.0202105,5.376890027,83354
13,1189,53641,741.6634386,317.0447719,6.449910027,83354
13,1189,55051,748.4901053,299.3672982,3.662666327,83354
13,1189,71027,777.9525614,416.1392281,1.746593297,83354
14,1189,55573,866.4117895,460.7640702,4.216817327,83354
14,1189,57282,829.1166316,481.9626667,4.126681927,83354
14,1189,60290,746.5498947,557.056,3.390194327,83354
14,1189,66226,593.7762807,651.1921404,5.821284327,83354
14,1189,66513,592.0516491,636.6764912,5.847823327,83354
14,1189,67423,591.1893333,605.6331228,5.066642327,83354
14,1189,68815,593.7762807,548.864,4.825892027,83354
14,1189,78387,256.826386,450.0569825,6.315303327,83354
15,1189,35920,852.9021754,435.613193,4.537235527,83354
15,1189,38413,807.9180351,431.2297544,4.823460927,83354
15,1189,40850,757.1851228,428.3553684,4.607627727,83354
15,1189,45450,629.7779649,452.1409123,3.828718927,83354
15,1189,46947,630.0654035,452.1409123,0,83354
16,1189,3559,908.1622456,408.378386,3.652120327,83354
16,1189,6185,889.1194386,478.9445614,4.382486627,83354
16,1189,7680,890.053614,484.6214737,4.485647027,83354
16,1189,11497,884.0174035,475.136,0,83354
17,1189,25737,278.0249825,329.6202105,7.059569627,83354
17,1189,62962,282.1209825,232.8252632,2.022744347,83354
17,1189,68595,267.0304561,248.9936842,4.577717327,83354
17,1189,77871,278.0249825,247.4127719,2.835562827,83354
17,1189,77975,278.0968421,247.4127719,2.835562527,83354
17,1189,84834,305.2597895,251.7962105,4.721688827,83354
17,1189,84834,305.2597895,251.7962105,4.721688827,83354
18,1189,28815,742.4538947,380.2094035,3.966585327,83354
18,1189,42567,686.0440702,435.0383158,0,83354
19,1189,42148,791.0310175,398.6054737,4.357536627,83354
19,1189,49109,676.7023158,448.6916491,4.377884427,83354
19,1189,52873,561.2238596,467.0877193,4.640568127,83354
19,1189,59613,311.2241404,513.3653333,5.048523027,83354
19,1189,60611,283.5581754,506.3949474,5.793557927,83354
19,1189,73327,340.8303158,384.5209825,4.918709827,83354
19,1189,74487,342.3393684,365.765614,4.948622827,83354
19,1189,74879,343.0579649,363.0349474,4.874512327,83354
19,1189,87279,209.2552982,312.8050526,4.836714327,83354
19,1189,95155,198.8356491,303.0321404,6.328437627,83354
20,1189,25541,878.3404912,468.2374737,4.283175327,83354
20,1189,36165,733.0402807,540.3845614,1.761789887,83354
20,1189,37380,721.0397193,564.4575439,4.413549027,83354
20,1189,39344,721.6145965,577.536,5.567391327,83354
20,1189,49123,810.5049825,516.8864561,7.203729327,83354
20,1189,68442,855.3454035,435.0383158,2.558391587,83354
20,1189,73030,841.4046316,438.3438596,6.908186727,83354
20,1189,74733,863.5374035,432.5232281,2.362522727,83354
