round,TimeMillis,locX,locY
1,26673,697.5962018,332.4809496
1,28357,713.8829674,320.5697329
1,28759,713.9437389,324.2767953
1,30734,703.8556677,322.1497923
1,32274,707.0157864,327.2545994
1,35242,734.788368,347.1268843
2,44063,804.9794659,336.4310979
2,47562,803.9463501,362.9274777
2,63718,805.6479525,348.7677151
2,65637,804.9186944,372.3470623
2,74402,633.9684273,341.1105045
2,75570,606.8643323,344.6352522
2,77066,593.1907418,366.5737685
2,101905,290.7309199,289.1508605
3,57916,251.9586944,324.7629674
3,63247,316.2549555,216.8935312
3,63959,312.1224926,216.2250445
3,64440,329.6854599,213.9764985
3,71927,618.2286053,224.0037982
3,80847,659.4316914,336.795727
4,13862,321.7243917,458.1564392
4,16124,320.2051039,426.0083086
4,25668,330.6578042,344.0883086
4,36970,626.7366172,250.0140059
4,49094,672.7406528,316.9842136
4,52058,711.5128783,320.3266469
4,53912,727.0703858,347.4915134
4,56617,730.5951335,348.7069436
5,6117,309.5093175,390.7000593
5,24019,245.881543,397.7495549
5,59219,272.1348368,274.6872404
5,65912,239.6220772,297.5981009
6,55423,843.8732344,466.542908
6,56160,842.6578042,461.0127003
6,57225,831.2935312,438.1626113
6,60003,761.3455193,365.9660534
6,68523,451.6538872,455.9078932
7,27249,340.7458754,459.4326409
7,28775,372.1039763,461.80273
7,37256,453.5985757,619.5048071
7,47357,621.388724,492.9785163
7,51023,605.7096736,477.7248665
7,61542,633.8468843,394.1032641
7,64848,737.8269436,388.998457
7,65060,747.7327003,389.4846291
8,21753,221.9983383,431.6600593
8,33122,248.3731751,456.2117507
8,35133,276.5711573,423.2735905
9,27539,859.1876558,422.9697329
9,28212,846.7294955,422.7874184
9,36557,796.6537685,392.1585757
9,38263,777.1461128,381.8274184
9,43839,704.8887834,354.5410089
10,6992,781.3393472,407.351454
11,30862,653.7191691,506.2874777
11,32477,641.0786944,538.1925223
11,33565,648.2497329,523.9112166
11,35038,644.9680712,520.0826113
12,4682,305.1337685,418.2903264
12,30031,329.4423739,373.258635
12,66535,344.0883086,250.8040356
12,95282,718.7446884,357.7618991
12,99468,620.7810089,380.1865875
