Player,Team,Rnd,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD,FKPer,FDPer
Harshhh,RGE,59,294.3,1.64,0.68,186.6,1.08,0.14,0.14,0.08,0.22,0,0/10,26,64,39,8,8,5,12.50,12.82
rawfiul,ENGM,167,279,1.54,0.71,172.3,1.01,0.14,0.19,0.15,0.31,0.17,2/12,27,169,110,24,32,25,18.93,22.73
tesseract,ENGM,167,274.7,1.43,0.8,175.7,0.96,0.36,0.14,0.09,0.35,0.1,1/10,23,160,112,60,23,15,14.38,13.39
SkRossi,GES,131,263.2,1.3,0.69,163.3,0.95,0.09,0.23,0.12,0.28,0.12,2/17,29,125,96,12,30,16,24.00,16.67
fishball,RGE,59,257.3,1.18,0.64,156.9,0.88,0.12,0.2,0.2,0.21,1,1/1,22,52,44,7,12,12,23.08,27.27
Rossi,LE,39,240,0.88,0.62,161,0.77,0.05,0.15,0.13,0.3,0,0/6,16,30,34,2,6,5,20.00,14.71
xavi8k,WSA,38,240,1,0.63,167.5,0.79,0.13,0.16,0.21,0.19,0,0/3,21,30,30,5,6,8,20.00,26.67
Excali,ENGM,167,238.1,1.29,0.78,161.3,0.82,0.37,0.11,0.08,0.21,0.22,4/18,25,137,106,61,19,14,13.87,13.21
Vibhor,GR,34,238,0.8,0.71,137.6,0.71,0.26,0.09,0.06,0.18,0,0/6,16,24,30,9,3,2,12.50,6.67
hellff,VLT,101,234.4,1.28,0.76,146.2,0.85,0.28,0.12,0.08,0.34,0.07,1/15,22,86,67,28,12,8,13.95,11.94
Deadly10,VLT,101,212.6,0.99,0.71,142.3,0.68,0.3,0.15,0.11,0.27,0,0/8,19,69,70,30,15,11,21.74,15.71
DEATHMAKER,VLT,101,209.2,1.16,0.6,134.7,0.77,0.09,0.13,0.16,0.35,0,0/2,24,78,67,9,13,16,16.67,23.88
Logistaa,RNT,181,204.4,1.12,0.7,131.1,0.76,0.24,0.07,0.06,0.27,0.1,3/31,28,137,122,43,13,11,9.49,9.02
Paradox,RNT,181,202.7,0.86,0.69,135.9,0.66,0.28,0.14,0.14,0.24,0.08,1/13,25,119,138,50,25,26,21.01,18.84
BADlove,RNT,181,202,1.01,0.65,134.6,0.71,0.15,0.09,0.1,0.36,0.23,5/22,23,128,127,27,16,19,12.50,14.96
Lightningfast,GES,131,200,0.85,0.63,138.9,0.66,0.2,0.15,0.16,0.32,0.1,1/10,20,86,101,26,19,21,22.09,20.79
blackhawk,RNT,181,197.6,0.92,0.65,128.3,0.68,0.29,0.1,0.1,0.33,0.16,3/19,24,123,134,52,18,18,14.63,13.43
HellrangeR,GES,131,196.3,1.01,0.68,123.2,0.68,0.37,0.04,0.06,0.29,0.2,4/20,23,89,88,48,5,8,5.62,9.09
Amaterasu,VLT,101,195.6,1.03,0.74,133.1,0.66,0.47,0.08,0.05,0.29,0.22,4/18,19,67,65,47,8,5,11.94,7.69
astr0,WSA,38,190.5,0.81,0.63,123.4,0.66,0.16,0.05,0.05,0.32,0,0/8,15,25,31,6,2,2,8.00,6.45
sens3i,LE,39,188.5,0.81,0.59,124.8,0.64,0.13,0.15,0.21,0.31,0,0/2,18,25,31,5,6,8,24.00,25.81
Whimp,RNT,181,186.2,0.89,0.67,123.9,0.65,0.23,0.09,0.1,0.27,0.11,2/19,21,118,133,42,17,18,14.41,13.53
Marzil,LE,39,186,0.8,0.59,132,0.62,0.31,0.05,0.05,0.31,0.13,1/8,17,24,30,12,2,2,8.33,6.67
KappA,GES,131,185.3,0.99,0.71,129.8,0.66,0.24,0.05,0.08,0.3,0.11,2/18,18,86,87,32,6,11,6.98,12.64
Busterrr,WSA,38,181,0.77,0.58,119.2,0.63,0.29,0.03,0.05,0.28,0,0/3,14,24,31,11,1,2,4.17,6.45
psy,GR,34,175,0.6,0.56,128.6,0.53,0.12,0.12,0.15,0.36,0,0/6,13,18,30,4,4,5,22.22,16.67
Pixelzz,RGE,59,173.7,0.88,0.73,108.8,0.59,0.27,0.05,0.12,0.23,0.17,1/6,14,35,40,16,3,7,8.57,17.50
Rio,RGE,59,172.7,0.85,0.71,101.7,0.59,0.27,0.03,0.05,0.24,0,0/11,15,35,41,16,2,3,5.71,7.32
rite2ace,VLT,101,170.6,0.91,0.73,114.1,0.6,0.32,0.05,0.08,0.23,0.18,2/11,18,61,67,32,5,8,8.20,11.94
KnightRider,GR,34,166,0.67,0.5,111.4,0.59,0.12,0.18,0.24,0.23,0.2,1/5,13,20,30,4,6,8,30.00,26.67
LuciA,LE,39,163.5,0.81,0.59,109.5,0.64,0.13,0.08,0.08,0.19,0,0/5,19,25,31,5,3,3,12.00,9.68
RvK,ENGM,167,159.7,0.94,0.74,101.7,0.56,0.25,0.03,0.06,0.32,0.15,3/20,18,94,100,42,5,10,5.32,10.00
Ember,GR,34,159.5,0.58,0.62,114.8,0.53,0.29,0.03,0.06,0.2,0,0/8,12,18,31,10,1,2,5.56,6.45
skillZ,GES,131,155,0.74,0.63,104.3,0.54,0.27,0.05,0.07,0.34,0.38,3/8,16,71,96,36,6,9,8.45,9.38
zeeq,RGE,59,151,0.77,0.71,104.6,0.51,0.39,0.08,0.03,0.41,0,0/5,13,30,39,23,5,2,16.67,5.13
sh1vy,LE,39,150.5,0.75,0.62,103.9,0.54,0.21,0.03,0.08,0.34,0,0/6,14,21,28,8,1,3,4.76,10.71
Antidote,ENGM,167,148.3,0.96,0.74,96.7,0.54,0.34,0.08,0.07,0.3,0.35,7/20,15,91,95,57,13,11,14.29,11.58
Equinox,WSA,38,133,0.64,0.58,95.6,0.47,0.11,0.05,0.11,0.33,0.14,1/7,14,18,28,4,2,4,11.11,14.29
Hoax,GR,34,114,0.4,0.47,77.5,0.35,0.32,0,0.09,0.37,0.5,2/4,7,12,30,11,0,3,0.00,10.00
Rexy,WSA,38,108,0.48,0.55,82.5,0.37,0.18,0.05,0.24,0.31,0,0/5,9,14,29,7,2,9,14.29,31.03
